Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Issue_Original,Response_Type
CONV-0001,"Добрый вечер, даже простые порграммы запускаются очень долго при одновременном открытии нескольких приложений, раньше всё работало намного быстрее.",Очистите кэш и удалите ненужные программы.,92 minutes,Software,Pending,Не удаётся подключиться к Wi-Fi,performance
CONV-0002,"Добрый вечер, компьютер не видит принтер с разных приложений, пробовала перезапускать, не помогает (Print_Spooler_Error_0x000003e3).",Переустановите драйверы принтера.,76 minutes,Account,Pending,Сбой при установке программного обеспечения,printer
CONV-0003,"Всё открывается с большой задержкой даже при открытии простых программ, это продолжается второй день.",Очистите кэш и удалите ненужные программы.,50 minutes,Network,Resolved,Не удаётся подключиться к Wi-Fi,performance
CONV-0004,"Кажется, неправильно помню пароль, после смены пароля вообще не пускает.",Сбросьте пароль по предоставленной ссылке.,97 minutes,Performance,Pending,Забыл(а) пароль,password
CONV-0005,"Добрый день, инсталлятор вылетает при установке на рабочем компьютере, пробовала переустанавливать несколько раз (0xC0000005 — Access violation), из-за этого не успеваю сдавать задачи.",Следуйте инструкции по установке программного обеспечения.,110 minutes,Performance,Pending,Сбой при установке программного обеспечения,install
CONV-0006,"Добрый день, инсталлятор вылетает при установке на рабочем компьютере, пробовала переустанавливать несколько раз!",Следуйте инструкции по установке программного обеспечения.,22 minutes,Performance,Resolved after follow-up,Нет доступа к электронной почте,install
CONV-0007,"Пару раз появлялся синий экран, иногда выскакивает сообщение с ошибкой. Это начало происходить совсем недавно.",Запустите утилиту диагностики системы.,12 minutes,Hardware,Resolved after follow-up,Нет доступа к электронной почте,diagnostic
CONV-0008,"Добрый день, компьютер не видит принтер в офисе, пробовала перезапускать, не помогает.",Переустановите драйверы принтера.,10 minutes,Hardware,Escalated,Нет доступа к электронной почте,printer
CONV-0009,"Добрый вечер, система периодически зависает и вылетает во время работы, иногда выскакивает сообщение с ошибкой, такое происходит почти каждое утро.",Запустите утилиту диагностики системы.,120 minutes,Software,Pending,Ошибка «синий экран»,diagnostic
CONV-0010,"Принтер не печатает в офисе, документ уходит в очередь, но ничего не происходит (0x00000709 — Printer cannot be selected), это продолжается второй день.",Переустановите драйверы принтера.,94 minutes,Hardware,Pending,Принтер не отвечает,printer
CONV-0011,"Добрый вечер, не приходят новые письма с ноутбука, письма иногда доходят, иногда нет. Очень прошу помочь с этой проблемой.",Проверьте настройки электронной почты.,45 minutes,Account,Escalated,Сбой при установке программного обеспечения,email
CONV-0012,"Забыл пароль от учётной записи, вчера входил нормально, сегодня уже нет. Это начало происходить совсем недавно.",Сбросьте пароль по предоставленной ссылке.,9 minutes,Network,Resolved,Ошибка «синий экран»,password
CONV-0013,"Добрый вечер, всё открывается с большой задержкой при работе с браузером, окна откликаются через несколько секунд. А работать-то надо!",Очистите кэш и удалите ненужные программы.,79 minutes,Account,Pending,Низкая скорость работы системы,performance
CONV-0014,"Добрый день, интернет отваливается постоянно в офисе (DNS_PROBE_FINISHED_NO_INTERNET), это продолжается уже несколько дней.",Перезагрузите маршрутизатор.,76 minutes,Software,Resolved after follow-up,Ошибка «синий экран»,wifi
CONV-0015,Не могу войти в аккаунт.,Сбросьте пароль по предоставленной ссылке.,35 minutes,Software,Escalated,Ошибка «синий экран»,password
CONV-0016,"Добрый день, ноутбук не цепляется к сети дом,а пишет, что нет доступа к интернету, это продолжается уже несколько дней.",Перезагрузите маршрутизатор.,48 minutes,Hardware,Resolved,Низкая скорость работы системы,wifi
CONV-0017,"Коллеги, принтер не печатает от моего компьютера, нужно срочно распечатать документы. Это особенно мешает в рабочие часы.",Переустановите драйверы принтера.,69 minutes,Network,Resolved after follow-up,Забыл(а) пароль,printer
CONV-0018,"Добрый вечер, компьютер ведёт себя странно, иногда выскакивает сообщение с ошибкой (0x000000EF — Critical Process Died).",Запустите утилиту диагностики системы.,91 minutes,Software,Resolved after follow-up,Нет доступа к электронной почте,diagnostic
CONV-0019,"Добрый день, сеть видна, но к ней не подключается дома, иногда соединение просто пропадает без причины, из-за этого не успеваю сдавать задачи.",Перезагрузите маршрутизатор.,30 minutes,Account,Resolved after follow-up,Принтер не отвечает,wifi
CONV-0020,"Добрый вечер, потеряла доступ к учётке, очень мешает работе.",Сбросьте пароль по предоставленной ссылке.,97 minutes,Performance,Escalated,Сбой при установке программного обеспечения,password
CONV-0021,"Доброго дня, проблема с электронной почтой через outlook, письма иногда доходят, иногда нет (SMTP_550_User_not_found).",Проверьте настройки электронной почты.,99 minutes,Software,Resolved after follow-up,Нет доступа к электронной почте,email
CONV-0022,"Добрый вечер, не приходят новые письма с рабочего компьютера, арньше всё работало нормально.",Проверьте настройки электронной почты.,15 minutes,Network,Escalated,Не удаётся подключиться к Wi-Fi,email
CONV-0023,"Здравствуйте, система периодически зависает и вылетает во время работы, иногда выскакивает сообщение с ошибкой (0x0000003B).",Запустите утилиту диагностики системы.,93 minutes,Hardware,Pending,Забыл(а) пароль,diagnostic
CONV-0024,"Появляются какие-то ошибки и сбои во время работы, иногда выскакивает сообщение с ошибкой, это продолжается уже несколько дней.",Запустите утилиту диагностики системы.,54 minutes,Account,Resolved after follow-up,Принтер не отвечает,diagnostic
CONV-0025,"Здравствуйте, всё открывается с большой задержкой, раньше всё работало намного быстрее. Ситуация повторяется уже не первый раз.",Очистите кэш и удалите ненужные программы.,58 minutes,Network,Pending,Ошибка «синий экран»,performance
CONV-0026,"Доброго времени суток, иногда всё зависает и помогает только перезагрузка, иногда выскакивает сообщение с ошибкой, раньше такого не было.",Запустите утилиту диагностики системы.,99 minutes,Performance,Resolved,Низкая скорость работы системы,diagnostic
CONV-0027,"Доброго времени суток, установка по зависает на ноутбуке. Очень прошу помочь с этой проблемой.",Следуйте инструкции по установке программного обеспечения.,13 minutes,Software,Pending,Сбой при установке программного обеспечения,install
CONV-0028,"Привет, сеть видна, но к ней не подключается в офисе, иногда соединение просто пропадает без причины (ERR_INTERNET_DISCONNECTED). А работать-то надо!",Перезагрузите маршрутизатор.,60 minutes,Software,Resolved after follow-up,Забыл(а) пароль,wifi
CONV-0029,"Добрый день, всё открывается с большой задержкой даже при открытии простых программ, работать в таком режиме невозможно. Это особенно мешает в рабочие часы.",Очистите кэш и удалите ненужные программы.,23 minutes,Software,Resolved after follow-up,Нет доступа к электронной почте,performance
CONV-0030,"Доброго времени суток, интернет отваливается постоянно в офисе, пишет, что неверный пароль, хотя он правильный (ERR_INTERNET_DISCONNECTED).",Перезагрузите маршрутизатор.,87 minutes,Hardware,Resolved after follow-up,Сбой при установке программного обеспечения,wifi
CONV-0031,"Добрый вечер, установка по зависает, пишет, что файл повреждён, такое происходит почти каждое утро.",Следуйте инструкции по установке программного обеспечения.,65 minutes,Network,Resolved after follow-up,Сбой при установке программного обеспечения,install
CONV-0032,"Доброго времени суток, принтер отображается, но не выводит ничего на бумагу, пробовала перезапускать, не помогает.",Переустановите драйверы принтера.,56 minutes,Hardware,Resolved,Принтер не отвечает,printer
